,Date,Anthony Edwards,Karl-Anthony Towns,D'Angelo Russell,Jaden McDaniels,Patrick Beverley,Jarred Vanderbilt,Malik Beasley,Greg Monroe,Taurean Prince,Naz Reid,Jaylen Nowell,Jordan McLaughlin,Josh Okogie,Nathan Knight,Leandro Bolmaro,Jake Layman,McKinley Wright IV,Chris Silva,Rayjon Tucker
66,2022-03-09,25.48,29.23,29.2,25.42,0.0,0.0,29.6,0.0,23.05,14.28,26.8,11.52,10.48,5.5,4.95,4.48,0.0,0.0,0.0
67,2022-03-11,34.43,33.87,39.33,32.05,4.08,20.37,32.18,0.0,16.9,14.12,12.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2022-03-12,36.37,25.28,33.75,23.9,0.0,0.0,30.87,0.0,22.88,23.93,21.58,21.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
69,2022-03-14,30.35,36.18,29.15,32.47,30.33,0.0,19.4,0.0,27.6,0.0,25.5,0.0,0.68,8.3,0.0,0.0,0.0,0.0,0.0
70,2022-03-16,32.03,26.17,30.42,0.0,28.92,24.95,21.5,0.0,25.28,0.0,18.3,15.27,1.12,13.82,1.12,1.12,0.0,0.0,0.0
71,2022-03-19,33.05,31.72,30.22,0.0,9.82,32.13,21.82,0.0,16.82,12.68,20.8,17.67,3.6,3.6,2.48,3.6,0.0,0.0,0.0
72,2022-03-21,38.08,37.5,28.98,0.0,31.5,14.52,27.12,0.0,23.15,10.5,14.37,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2022-03-23,34.82,30.85,27.02,0.0,30.95,26.37,22.9,0.0,17.6,17.15,12.32,16.87,1.05,0.0,1.05,1.05,0.0,0.0,0.0
74,2022-03-25,32.28,29.63,30.65,0.0,24.78,22.7,12.4,0.0,21.65,11.38,16.08,20.1,4.43,6.78,3.25,3.87,0.0,0.0,0.0
75,2022-03-27,37.18,34.77,30.65,0.0,23.93,18.27,0.0,0.0,25.43,8.93,26.85,16.78,4.3,4.3,4.3,4.3,0.0,0.0,0.0
76,2022-03-30,31.62,32.4,27.72,0.0,22.68,21.07,0.0,0.0,19.98,18.87,23.32,27.25,5.43,0.0,4.23,5.43,0.0,0.0,0.0
77,2022-04-01,40.02,31.2,36.57,0.0,26.85,22.65,23.13,0.0,28.13,15.07,0.0,16.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2022-04-03,35.35,35.42,34.65,0.0,0.0,29.63,28.33,0.0,20.3,12.58,14.13,13.35,16.25,0.0,0.0,0.0,0.0,0.0,0.0
79,2022-04-05,31.97,34.57,28.63,14.53,0.0,20.08,32.25,0.0,23.4,13.43,11.75,21.47,4.75,0.0,0.0,0.0,3.15,0.0,0.0
80,2022-04-07,39.2,32.68,0.0,21.12,28.2,32.62,27.15,0.0,9.48,15.32,13.38,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,18.4,0.0,0.0,17.72,14.85,14.22,15.95,18.33,0.0,21.35,21.23,19.0,21.32,15.95,17.9,16.6,7.15,0.0,0.0
